classification	residency	year	head count
Undergraduate	Iowa Resident	2006	14011
Undergraduate	Domestic Non-Resident	2006	6347
Undergraduate	International	2006	380
Graduate	Iowa Resident	2006	2693
Graduate	Domestic Non-Resident	2006	2075
Graduate	International	2006	1309
Professional	Iowa Resident	2006	1374
Professional	Domestic Non-Resident	2006	612
Professional	International	2006	14
Postgraduate	Iowa Resident	2006	825
Postgraduate	Domestic Non-Resident	2006	38
Postgraduate	International	2006	301
Undergraduate	Iowa Resident	2007	13808
Undergraduate	Domestic Non-Resident	2007	6695
Undergraduate	International	2007	404
Graduate	Iowa Resident	2007	2848
Graduate	Domestic Non-Resident	2007	2127
Graduate	International	2007	1246
Professional	Iowa Resident	2007	1338
Professional	Domestic Non-Resident	2007	642
Professional	International	2007	16
Postgraduate	Iowa Resident	2007	930
Postgraduate	Domestic Non-Resident	2007	53
Postgraduate	International	2007	302
Undergraduate	Iowa Resident	2008	13192
Undergraduate	Domestic Non-Resident	2008	7055
Undergraduate	International	2008	576
Graduate	Iowa Resident	2008	2932
Graduate	Domestic Non-Resident	2008	2164
Graduate	International	2008	1247
Professional	Iowa Resident	2008	1288
Professional	Domestic Non-Resident	2008	687
Professional	International	2008	22
Postgraduate	Iowa Resident	2008	994
Postgraduate	Domestic Non-Resident	2008	58
Postgraduate	International	2008	346
Undergraduate	Iowa Resident	2009	12722
Undergraduate	Domestic Non-Resident	2009	7050
Undergraduate	International	2009	802
Graduate	Iowa Resident	2009	2944
Graduate	Domestic Non-Resident	2009	2247
Graduate	International	2009	1251
Professional	Iowa Resident	2009	1249
Professional	Domestic Non-Resident	2009	692
Professional	International	2009	28
Postgraduate	Iowa Resident	2009	928
Postgraduate	Domestic Non-Resident	2009	73
Postgraduate	International	2009	342
Undergraduate	Iowa Resident	2010	12578
Undergraduate	Domestic Non-Resident	2010	7315
Undergraduate	International	2010	1283
Graduate	Iowa Resident	2010	2882
Graduate	Domestic Non-Resident	2010	2269
Graduate	International	2010	1224
Professional	Iowa Resident	2010	1231
Professional	Domestic Non-Resident	2010	715
Professional	International	2010	20
Postgraduate	Iowa Resident	2010	909
Postgraduate	Domestic Non-Resident	2010	101
Postgraduate	International	2010	298
Undergraduate	Iowa Resident	2011	12215
Undergraduate	Domestic Non-Resident	2011	7615
Undergraduate	International	2011	1734
Graduate	Iowa Resident	2011	2820
Graduate	Domestic Non-Resident	2011	2289
Graduate	International	2011	1181
Professional	Iowa Resident	2011	1222
Professional	Domestic Non-Resident	2011	714
Professional	International	2011	19
Postgraduate	Iowa Resident	2011	960
Postgraduate	Domestic Non-Resident	2011	78
Postgraduate	International	2011	334
Undergraduate	Iowa Resident	2012	12195
Undergraduate	Domestic Non-Resident	2012	7752
Undergraduate	International	2012	2052
Graduate	Iowa Resident	2012	2868
Graduate	Domestic Non-Resident	2012	2143
Graduate	International	2012	1195
Professional	Iowa Resident	2012	1260
Professional	Domestic Non-Resident	2012	638
Professional	International	2012	25
Postgraduate	Iowa Resident	2012	1066
Postgraduate	Domestic Non-Resident	2012	0
Postgraduate	International	2012	304
Undergraduate	Iowa Resident	2013	12012
Undergraduate	Domestic Non-Resident	2013	7703
Undergraduate	International	2013	2259
Graduate	Iowa Resident	2013	2681
Graduate	Domestic Non-Resident	2013	2087
Graduate	International	2013	1171
Professional	Iowa Resident	2013	1206
Professional	Domestic Non-Resident	2013	605
Professional	International	2013	24
Postgraduate	Iowa Resident	2013	1017
Postgraduate	Domestic Non-Resident	2013	7
Postgraduate	International	2013	293
Undergraduate	Iowa Resident	2014	12140
Undergraduate	Domestic Non-Resident	2014	7719
Undergraduate	International	2014	2495
Graduate	Iowa Resident	2014	2618
Graduate	Domestic Non-Resident	2014	1997
Graduate	International	2014	1189
Professional	Iowa Resident	2014	1169
Professional	Domestic Non-Resident	2014	614
Professional	International	2014	29
Postgraduate	Iowa Resident	2014	1121
Postgraduate	Domestic Non-Resident	2014	0
Postgraduate	International	2014	296
Undergraduate	Iowa Resident	2015	12760
Undergraduate	Domestic Non-Resident	2015	7946
Undergraduate	International	2015	2651
Graduate	Iowa Resident	2015	2605
Graduate	Domestic Non-Resident	2015	1933
Graduate	International	2015	1150
Professional	Iowa Resident	2015	1143
Professional	Domestic Non-Resident	2015	620
Professional	International	2015	36
Postgraduate	Iowa Resident	2015	1023
Postgraduate	Domestic Non-Resident	2015	0
Postgraduate	International	2015	283
