id,federal,year,source,amount,previous,diff,delta,,
1,Federal,2011,Department of Agriculture,921274,0,0,0.00,,
2,Federal,2011,Department of Commerce,0,0,0,0.00,,
3,Federal,2011,Department of Defense,17057461,0,0,0.00,,
4,Federal,2011,Department of Education,26651645,0,0,0.00,,
5,Federal,2011,Department of Energy,3028113,0,0,0.00,,
6,Federal,2011,Department of Health & Human Services,231160243,0,0,0.00,,
7,Federal,2011,Department of Interior,91212,0,0,0.00,,
8,Federal,2011,Department of Transportation,2198752,0,0,0.00,,
9,Federal,2011,Environmental Protection Agency,579871,0,0,0.00,,
10,Federal,2011,NASA,8347769,0,0,0.00,,
11,Federal,2011,National Science Foundation,8225705,0,0,0.00,,
12,Federal,2011,Other,3291378,0,0,0.00,,
13,Non-Federal,2011,Business & Corporations,44717805,0,0,0.00,,
14,Non-Federal,2011,Foundations & Associations,38587757,0,0,0.00,,
15,Non-Federal,2011,Individuals,1000,0,0,0.00,,
16,Non-Federal,2011,State & Local Governments,42455581,0,0,0.00,,
17,Non-Federal,2011,Hospitals & Other Universities,29161935,0,0,0.00,,
18,Non-Federal,2011,Other,110825,0,0,0.00,,
19,Federal,2012,Department of Agriculture,1926971,921274,1005697,109.16,Department of Agriculture,TRUE
20,Federal,2012,Department of Commerce,378195,0,378195,100.00,Department of Commerce,TRUE
21,Federal,2012,Department of Defense,12831441,17057461,-4226020,-24.78,Department of Defense,TRUE
22,Federal,2012,Department of Education,21273052,26651645,-5378593,-20.18,Department of Education,TRUE
23,Federal,2012,Department of Energy,1935765,3028113,-1092348,-36.07,Department of Energy,TRUE
24,Federal,2012,Department of Health & Human Services,204966836,231160243,-26193407,-11.33,Department of Health & Human Services,TRUE
25,Federal,2012,Department of Interior,76386,91212,-14826,-16.25,Department of Interior,TRUE
26,Federal,2012,Department of Transportation,0,2198752,-2198752,-100.00,Department of Transportation,TRUE
27,Federal,2012,Environmental Protection Agency,1923847,579871,1343976,231.77,Environmental Protection Agency,TRUE
28,Federal,2012,NASA,6620572,8347769,-1727197,-20.69,NASA,TRUE
29,Federal,2012,National Science Foundation,17528851,8225705,9303146,113.10,National Science Foundation,TRUE
