dsp_item_id	college	award_total	award_range	fiscal_year
10088504	Business Administration	30000.00	2	2011
10088505	Business Administration	30000.00	2	2011
10083480	Business Administration	18033.00	2	2011
10085620	Business Administration	17520.00	2	2011
10088134	Business Administration	65000.00	2	2011
10085104	Business Administration	31320.00	2	2011
10085556	Business Administration	8000.00	1	2011
10086315	Business Administration	20000.00	2	2011
10088014	Business Administration	49979.00	2	2011
10088739	Dentistry	114060.00	3	2011
10088748	Dentistry	400000.00	3	2011
10088756	Dentistry	25000.00	2	2011
10086238	Dentistry	1080.00	1	2011
10086283	Dentistry	4092.00	1	2011
10086558	Dentistry	6500.00	1	2011
10086795	Dentistry	48167.00	2	2011
10087539	Engineering	13986.00	2	2011
10087598	Engineering	130000.00	3	2011
10087599	Engineering	101952.00	3	2011
10087606	Engineering	23215.00	2	2011
10087715	Engineering	43500.00	2	2011
10087890	Engineering	226354.00	3	2011
10087928	Engineering	5003.00	1	2011
10087936	Engineering	208192.00	3	2011
10087990	Engineering	300000.00	3	2011
10085608	Engineering	1039969.00	4	2011
10085642	Engineering	3574.00	1	2011
10085690	Engineering	95445.00	2	2011
10085691	Engineering	6666.00	1	2011
10085712	Engineering	60000.00	2	2011
10085569	Medicine	0.00	1	2011
10085493	Medicine	0.00	1	2011
10085854	Engineering	55858.00	2	2011
10085910	Engineering	149831.00	3	2011
10085336	Engineering	4200.00	1	2011
10085393	Engineering	517520.00	3	2011
10085431	Engineering	30000.00	2	2011
10085464	Engineering	99049.00	2	2011
10085528	Engineering	862000.00	3	2011
10086189	Engineering	57873.00	2	2011
10085317	Medicine	113650.00	3	2011
10085271	Medicine	173615.00	3	2011
10086229	Engineering	95000.00	2	2011
10086232	Engineering	48000.00	2	2011
10085218	Medicine	3000.00	1	2011
10085210	Medicine	18330.00	2	2011
10086253	Engineering	61291.00	2	2011
10086368	Engineering	52000.00	2	2011
10086372	Medicine	180021.00	3	2011
10086465	Medicine	321563.00	3	2011
10086369	Engineering	200000.00	3	2011
10086657	Engineering	19855.00	2	2011
10086717	Engineering	11269.00	2	2011
10086725	Engineering	25606.00	2	2011
10086798	Engineering	61249.00	2	2011
10086821	Engineering	60696.00	2	2011
10086214	Medicine	202625.00	3	2011
10086239	Medicine	20418.00	2	2011
10086831	Engineering	124983.00	3	2011
10079581	Engineering	262738.00	3	2011
10085818	Medicine	60000.00	2	2011
10087141	Medicine	20000.00	2	2011
10081880	Engineering	3650.00	1	2011
10082101	Engineering	250351.00	3	2011
10086546	Medicine	1000.00	1	2011
10086845	Medicine	25319.00	2	2011
10082319	Engineering	95500.00	2	2011
10082360	Engineering	3600.00	1	2011
10087657	Medicine	54222.00	2	2011
10087631	Medicine	295494.00	3	2011
10082534	Engineering	1475316.00	4	2011
10082645	Engineering	55000.00	2	2011
10084116	Engineering	57127.00	2	2011
10083721	Engineering	51931.00	2	2011
10087935	Medicine	375000.00	3	2011
10087421	Medicine	19100.00	2	2011
10084972	Engineering	220000.00	3	2011
10085056	Engineering	5000.00	1	2011
10087424	Medicine	52500.00	2	2011
10087378	Medicine	70800.00	2	2011
10085075	Engineering	17984.00	2	2011
10085149	Engineering	3419.00	1	2011
10087476	Medicine	663306.00	3	2011
10087485	Medicine	60180.00	2	2011
10085151	Engineering	198760.00	3	2011
10085261	Engineering	24732.00	2	2011
10087548	Medicine	20000.00	2	2011
10087549	Medicine	40000.00	2	2011
10083356	Engineering	66667.00	2	2011
10085411	Engineering	558557.00	3	2011
10086924	Engineering	90000.00	2	2011
10087450	Engineering	75191.00	2	2011
10087341	Medicine	80328.00	2	2011
10087291	Medicine	122247.00	3	2011
10087677	Engineering	526947.00	3	2011
10087565	Engineering	4000.00	1	2011
10087942	Medicine	287561.00	3	2011
10087914	Medicine	34021.00	2	2011
10088267	Engineering	81384.00	2	2011
10085427	Engineering	58400.00	2	2011
10087742	Medicine	7086.00	1	2011
10087743	Medicine	37350.00	2	2011
10085428	Engineering	36725.00	2	2011
10085429	Engineering	20038.00	2	2011
10087766	Medicine	55455.00	2	2011
10087147	Medicine	21500.00	2	2011
10085316	Engineering	369724.00	3	2011
10086167	Engineering	220894.00	3	2011
10083150	Engineering	81112.00	2	2011
10082071	Engineering	215692.00	3	2011
10085819	Medicine	0.00	1	2011
10085943	Medicine	16000.00	2	2011
10085088	Engineering	5400.00	1	2011
10084886	Engineering	372040.00	3	2011
10086117	Medicine	24043.00	2	2011
10085516	Medicine	2500.00	1	2011
10085224	Engineering	1686.00	1	2011
10085804	Engineering	38234.00	2	2011
10085682	Medicine	10000.00	2	2011
10085684	Medicine	73805.00	2	2011
10087290	Engineering	1000.00	1	2011
10087904	Engineering	2500.00	1	2011
10083901	Medicine	11399.00	2	2011
10083766	Medicine	75000.00	2	2011
10087367	Engineering	21780.00	2	2011
10087368	Engineering	5000.00	1	2011
10087464	Engineering	142727.00	3	2011
10087465	Engineering	135537.00	3	2011
10086708	Engineering	3600.00	1	2011
10086709	Engineering	1800.00	1	2011
10086557	Engineering	3600.00	1	2011
10081701	Engineering	151570.00	3	2011
10076708	Engineering	80000.00	2	2011
10084803	Engineering	12000.00	2	2011
10083943	Engineering	20000.00	2	2011
10084512	Engineering	450000.00	3	2011
10084756	Engineering	5000.00	1	2011
10085975	Engineering	40000.00	2	2011
10086107	Engineering	37500.00	2	2011
10085709	Engineering	50000.00	2	2011
10087371	Engineering	114261.00	3	2011
10086881	Engineering	499150.00	3	2011
10084563	Medicine	179147.00	3	2011
10085018	Medicine	475200.00	3	2011
10086814	Engineering	72000.00	2	2011
10088331	Engineering	10000.00	2	2011
10084967	Medicine	371250.00	3	2011
10084912	Medicine	371250.00	3	2011
10088043	Engineering	15000.00	2	2011
10088190	Engineering	60000.00	2	2011
10083805	Medicine	227903.00	3	2011
10082346	Medicine	1109280.00	4	2011
10088201	Engineering	54154.00	2	2011
10088198	Engineering	80000.00	2	2011
10082471	Medicine	422858.00	3	2011
10079694	Medicine	15000.00	2	2011
10088377	Engineering	19776.00	2	2011
10088456	Engineering	49718.00	2	2011
10087600	Engineering	113806.00	3	2011
10087338	Engineering	111981.00	3	2011
10085726	Medicine	206090.00	3	2011
10085727	Medicine	75000.00	2	2011
10087561	Engineering	200000.00	3	2011
10087738	Engineering	200000.00	3	2011
10085728	Medicine	360937.00	3	2011
10085378	Medicine	60361.00	2	2011
10087834	Engineering	49938.00	2	2011
10087713	Engineering	397975.00	3	2011
10085415	Medicine	60000.00	2	2011
10085115	Medicine	70000.00	2	2011
10087042	Engineering	99000.00	2	2011
10087100	Engineering	38109.00	2	2011
10085246	Medicine	148819.00	3	2011
10085789	Medicine	3000.00	1	2011
10087148	Engineering	353431.00	3	2011
10087149	Engineering	134042.00	3	2011
10087489	Engineering	118423.00	3	2011
10087503	Engineering	7500.00	1	2011
10085775	Medicine	41000.00	2	2011
10085776	Medicine	19304.00	2	2011
10085698	Engineering	151430.00	3	2011
10085881	Engineering	147000.00	3	2011
10085878	Medicine	2262500.00	4	2011
10086209	Medicine	9375.00	1	2011
10085889	Engineering	101299.00	3	2011
10085716	Engineering	108474.00	3	2011
10085740	Engineering	33000.00	2	2011
